12.08.2013                                                                                                                                                                                                                                                                                                                                                                                               Dynamický výstup seznamu                                                                                                                                                                                                                                                                                                                                                                                                      1;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Tabelle KNB1 - Kmen.soub.zákaz.(úè.okruh);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Klient;SAP è.;Název;Ulice;Mìsto;PSÈ;Fax;Internet;Odl.úè.pl.;PlatPodDob;Èinnost;Rozdìlení;KlíèOpráv;StPotvÚèOk;Dat.potvr.;ÈasPotvr;Bl.výmazu;Telefon;Znak cese;StZdDanì;Exekuce
;100;311691;Toluca Plant - US;11302 B Easpoint Drive;Laredo TX;78045;;external.Juan.Espino@mx.bosch.com;;;;;;;;0:00:00;;;;;
;100;312175;Assembly Mechanic Cable, S.L.U.;Ctra. Del Vendrell a Sant Jaume;Santa Oliva (Tarragona);43710;;;;;;;;;;0:00:00;;;;;
;100;312574;Vohl & Rath;Pforzheimer Str. 8;Unterreichenbach;75399;;;;;;;;;;0:00:00;;;;;
;100;312056;Toyota Tsusho Europe S.A.;Plzenska 3185/5b;Praha 5;150 00;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;8954;Hornling Industrial Inc.;167 Gong Ming Road;Tainan;70968;;;;;;;;;;0:00:00;;;;;
;100;8521;RS FILTRI;15-ti Korpus Street, No. 89;Ohrid;6000;;;;;;;;;;0:00:00;;;;;
;100;8958;GWS Produktion Handel Service GmbH;Warwitzstrasse 9-11;Salzburg;5023;66280910635;n.pichler@gw-salzburg.com;;;;;;;;0:00:00;;662/80910-642;;;
;100;7127;Noventa AG;Sonnenstr. 1;Diepoldsau;9444;717379505;sabine.fischer@noventa.com;;;;;;;;0:00:00;;071/73795-18;;;
;100;7328;UNGUELTIG;Via Luigi Raspini, 22;Settimo Torinese;10036;;cornelia.prenner@tiscalinet.it;;;;;;;;0:00:00;X;;;;
;100;7382;Autoliv Ltd.;Penner Road;Havant;P09 1QH;;;;;;;;;;0:00:00;;;;;
;100;7429;Britax Child-Care Products Pty. Ltd;99 Derby Road;Sunshine Victoria;3020;93115798;lwebb@britax.com.au;;;;;;;;0:00:00;;9288-7212;;;
;100;8601;Continental Automotive;Hradecka 1092;Jicin;506 01;493589242;sona.sulcova@continental-corporation.com;;;;;;;;0:00:00;;;;;
;100;7253;Ark-Pres A.S.;Kullar Yolu, Vezircifligi Mevkii 14;Ordulular Mah., Kullar - Izmit;41270;;fkorkmaz@arkpres.com;;;;;;;;0:00:00;;;;;
;100;7286;UNGUELTIG;Centro Industrial Santiga;Barberà del Vallès (Barcelona);8210;;rosario.carbonell@kern-liebers.es;;;;;;;;0:00:00;X;;;;
;100;7587;TRW Occupant Restraint;Mattseer Landesstr. 8;Bergheim;5101;66248888299;fritz.schaumburger@trw.com;;;;;;;;0:00:00;;66248-888211;;;
;100;7650;TRW Systems Ltd.;1 Cook Way;Peterlee;SR8 2HY;;julie.davies@trw.com;;;;;;;;0:00:00;;191/518-6917;;;
;100;7755;Samsonite Europe N.V.;Westerring 17;Oudenaarde;9700;;;;;;;;;;0:00:00;;;;;
;100;7789;Kolektor LIV d.o.o.;Industrijska Cesta 2;Postojna;6230;657283701;mojca.sajina@kolektor.si;;;;;;;;0:00:00;;572837-00;;;
;100;306175;JANOVIAK s. r. o.;Cechova 806/1c;Lisov;373 72;;;;;;;;;;0:00:00;;;;;
;100;306093;Un Wha Polska Sp. z o.o.;Ul. Jana Pawla II Str. 14;Pultusk;06-100;;;;;;;;;;0:00:00;;;;;
;100;108063;BWI Automotive Technologies Pvt Ltd;Plot No. 30, Industrial Estate;Haryana;123401;1202341383;Karunesh.Mishra@bwigroup.com;;;;;;;;0:00:00;;;;;
;100;108056;DELPHI CHASSIS SYSTEMS;1042 P.O.BOX;DAYTON;45401;374557187;;;;;;;;;0:00:00;;;;;
;100;108070;FRIC ROT SAIC;URUGUAY ST., 2627;ROSARIO;2000;;mcastillo@tenneco.com;;;;;;;;0:00:00;;;;;
;100;305770;ATHOS ELEKTRO TEKNIK SAN. VE TIC.;Organize San. Böl. Çevre San. Si 11;IkItelli Istanbul;0;;;;;;;;;;0:00:00;;;;;
;100;571061;Franz Josef King KG;Berneckstr. 153;Schramberg;78713;;;;;;;;;;0:00:00;;;;;
;100;572061;King International s.r.o.;Plzeòská 1417;Stribo;349 01;;;;;;;;;;0:00:00;;;;;
;100;572062;King Italiana;Holzlaende 87;St. Martin in Passeier;39010;;;;;;;;;;0:00:00;;;;;
;100;571034;Saxonia Textil Limbach-O.,;Lessingstraße 19;Limbach-Oberfrohna;9212;;;;;;;;;;0:00:00;;;;;
;100;304133;VKF Renzel GmbH;Im Geer 15;Isselburg;46419;2874910101;;;;;;;;;0:00:00;;;;;
;100;300603;K.P.T.C Export & Import;Winterhuder Weg 8;Hamburg;22085;;;;;;;;;;0:00:00;;;;;
;100;104057;DB Fahrzeuginstandhaltung GmbH;Joachimstrasse 8;Hannover;30159;;Heinrich.Mueller@bahn.de;;;;;;;;0:00:00;;;;;
;100;304096;GES-CO;UL. GRAZYNSKIEGO No. 141;Bielsko - Biala;43300;;;;;;;;;;0:00:00;;;;;
;100;306942;STEINBAUER LECHNER, s.r.o.;Sosni 824/25;Stepanovice;373 73;;prokesova@steinbauer-lechner.cz;;;;;;;;0:00:00;;387011-326;;;
;100;303340;Robert Bosch;Robert Bosch Park 3;Miskolc;3526;46518399;Krisztina.Nagyne@hu.bosch.com;;;;;;;;0:00:00;;4651-8308;;;
;100;1354;Volkswagen AG;0;Wolfsburg;38436;;;;;;;;;;0:00:00;;;;;
;100;307173;KOVOSROT GROUP CZ a.s.;Ke Kablu 289;Praha 10, Dolní Mìcholupy;100 37;;;;;;;;;;0:00:00;;;;;
;100;573088;Kern-Liebers Springs & Stampings;143-151, Antharasanahalli;Tumkur / Karnataka;572106;;Ravikumar Shamanna/KL-IN/KL-Group@KERN-LIEBERS;;;;;;;;0:00:00;;;;;
;100;307254;BOS Automotive Irapuato S.A.;Calle San Lorenzo No. 627;Irapuato, GTO;36810;;oesquivel@bos.de;;;;;;;;0:00:00;;;;;
;100;8090;Vorwerk Semco S.A.;20 Route De Montigny;Cloyes-Sur-Loir;28220;;;;;;;;;;0:00:00;;;;;
;100;302991;HAMMERLING GROUP LOGISTIC KFT.;EGER UTCA HRSZ. 5782/15;MOSONMAGYAROVAR;9200;;;;;;;;;;0:00:00;;;;;
;100;306066;Nieuwkoop BV;Aalsmeerderweg 249s;Aalsmeer;1432 CM;;;;;;;;;;0:00:00;;;;;
;100;7775;Stenhoj A/S;0;Barrit;7150;;;;;;;;;;0:00:00;;;;;
;100;307027;BalTec Maschinenbau AG;Obermattstrasse 65;Pfäffikon;8330;;;;;;;;;;0:00:00;;;;;
;100;306641;M & M Militzer & Münch CS spol. s.r;Modletice 98;Modletice;251 01;;;;;;;;;;0:00:00;;;;;
;100;312878;BWI North America Inc.;12425 Rojas Drive Building 1;El Paso;79928;;Antwan.Kelly@bwigroup.com;;;;;;;;0:00:00;;;;;
;100;312883;Senior Flexonics Czech s.r.o.;Prumyslova 733/9;Olomouc;779 00;;;;;;;;;;0:00:00;;;;;
;100;25802001;Not realised exchange Rate diff. -;0;Ceske Budejovice;0;;;;;;;;;;0:00:00;;;;;
;100;312606;Endurance Technologies Pvt Ltd;E-92/93 MIDC Industrial area, P O B;Waluj, Aurangabad, Maharashtra;431136;;;;;;;;;;0:00:00;;;;;
;100;50642;Robert Bosch GmbH;0;Magdeburg;0;;tamas.hegedus@de.bosch.com;;;;;;;;0:00:00;;;;;
