SAP è.;Název;Ulice;Mìsto;PSÈ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423114;MINO-HYDRAULIKA s.r.o.;Pavovska 3112/27;Jihlava;586 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423049;LANGER INTERIERY s.r.o.;Cechova 672;Blatna;388 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423237;APENEX s.r.o.;Lidicka 2156/108a;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422504;E.ON SERVISNI s. r. o.;F. A. Gerstnera 2151/6;Ceske Budejovice;370 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422607;JOHN Stanislav s.r.o;U Haldy 18;Dobra Voda u Ceskych Budejovic;373 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422640;GESPERRT - TISKARNA LITOMERICE;Na Valech 33;Litomerice;412 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422661;Trava s.r.o.;Plana 24;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422467;AMPARA s.r.o.;Zemedelska 495;Kamenny Ujezd;373 81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422489;CZC. cz s.r.o.;Brodska 570;Pribram;261 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422424;Petr Mikoska - PEMTEC;Komoranska 326/63;Praha 4;143 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406158;TEC-NORM GmbH & Co. KG;Oberer Hammer 2;Finnentrop;57413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419581;SÜDVERS-GRUPPE;Am Altberg 1-3;Au bei Freiburg;79280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422668;Zapadoceska univerzita v Plzni;Univerzitni 8;Plzen;306 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422672;Plasmametal spol. s r. o.;Tovarni 1;Brno;643 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408054;Dipl-Ing. Werner Becker;Mauritiusstraße 9;Rottweil;78628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422171;R-lub Slovakia, s.r.o.;Horne Janiky 143;Janiky;930 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423022;KADLEC spol. s r.o.;Pekarska 1639/79A;Opava - Katerinky;747 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422994;Vladimir Kostinek;Tabor 2142;Tabor;390 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1256;GUK-Falzmaschinen;Bahnhofstraße 4;Wellendingen;78669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421706;Wheelabrator Czech s.r.o.;Za Balonlou 269;Pribram;261 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422750;Martina Bila - zasilatelstvi;Olesna 118;Pelhrimov;393 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422751;PANALPINA CZECH S.R.O.;Na Hurce 1077/4A;Praha 6 - Ruzyne;161 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422529;Petra Burdelová;Poláèkova 3250/30;Ústí nad Labem;400 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423518;ATROLAT s.r.o.;Kastanova 182;Tøinec, Dolni Listna;739 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423527;Schuntermann Transformatoren GmbH;Hans-Sachs-Str. 17;Hilden;40721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422017;Ishan Precision ind. Co. Ltd.;Lane 256, Tai Si s.Rd.;Lung Ching District, Taichung 43445;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422895;TomTom International BV;Rembrandtplein 35;Amsterdam;1017 CT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422864;H. BLOCH a.s.;Videnska 232/116b;Brno;619 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422738;VLADIMIR CAP;Klec 93;Trebon;379 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422662;HBI Ceska republika s.r.o.;Siemensova 2717/4;Praha 5;155 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422513;AAAMOBIL s.r.o;Krizova 10;Sternberk;785 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421777;P + P ZELEC pol. s r.o.;Novohradska 24;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422699;Tiskarna - Jaromir Latislav;Na Valech 33;Litomerice;412 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422037;R.O.S.P. s.r.o.;Prumyslova 882;Plana nad Luznici;391 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422039;Clarion Congress Hotel Ceske Budejo;Prazska trida 14;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416415;Müga Werkzeugmaschinen GbmH;Albertistrasse 16;VS-Schwenningen;78056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420052;ARTWELD s.r.o.;Nadrazni 120;Liberec 6;460 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420317;Frantisek Reinberk;Na Dubech 448;Hradec Kralove;503 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420101;Sree Rama Engineering Works;Bangalore;Bangalore;560044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420264;KAVON CZ s.r.o.;Mikulovicka 2642;Pradubice;530 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420105;Manuli Stretch Ceska republika s.r.;Klecany 618;Klecany;250 67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420963;Nehtyeshop.cz - Zdenek Vitek;Ceskobratrska 355/60;Olomouc;779 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420940;GHC Invest s.r.o.;Korunovacni 6;Praha 7;170 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420931;SOMAX PLUS spol. s r. o.;Na Travniku 474/20;Plzen - Litice;321 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420763;Ing. Petr Novotny;Huntirov 62;Zelezny Brod;468 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421100;TFP universal a.s.;K Juliane 150;Praha 6, Predni Kopanina;164 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421312;PST CLC, a.s.;Nadrazni 112/969;Ostrava - Moravska Ostrava;702 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420176;Conrad Electronic Ceska republika s;Sazecska 645/12;Praha 10 - Malesice;108 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420290;VMM s.r.o. - zast. STRACK NORMALIEN;Nemocnicni 13;Ostrava 1;702 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Friedr. Gustav Theis;Bandstahlstraße 14-18;Hagen;58093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419654;Jaroslav Hojdanek;Hirzova 1411/10;Ceske Budejovice;370 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402128;Kern-Liebers Int GESPERRT;Dr.-Kurt-Steim-Str. 35;Schramberg;78713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402132;Central European Data Agency, a.s.;Drtinova 10;Praha 5;150 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402133;ELSON spol. s.r.o.;Prazska 16;Praha 10;102 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402137;Vankat CZ, s.r.o.;Krhanicka 815;Praha 4;142 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402139;GEIS CZ s.r.o.;Zemská 211/I 128;Ejpovice;337 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402140;Indu-Light Praha s.r.o.;Letenske nam. 4/157;Praha 7;170 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402141;MDG Servis s.r.o.;Delnicka 3272;Varnsdorf;407 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402142;MK FINECO, spol. s.r.o.;K. Svetle 2447;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402143;Autokov Ceske Budejovice v.o.s.;Chotycany;Chotycany;373 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402144;QARTAL spol. s.r.o.;Usilne 151;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402475;Krcek Pavel JUDr.;U Cerne veze 304/9;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402476;Mrnustik Jiri;Hecikova 6;Brno;612 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402477;Vosatkova Blanka JUDr.;Manesova 3/11;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402480;Oblastni spolek Ceskeho cerveneho k;Husova 20;Ceske Budejovice;370 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402481;CESKA SPOLECNOST PRO JAKOST, o.s.;Novotneho lavka 200/5;Praha 1;116 68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402491;INBES s.r.o.;Husova 5;0.1.1900;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402492;Zeman Miroslav;Trebizskeho 16;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402496;Sindelar Vaclav Ing.;U Trojice 29;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402498;Hench-Thermoplast Kunstofftechnik G;Hauptstr. 1c;Schwarzhausen;99891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402502;HEAT PLUS, spol. s.r.o.;Krizova 1018;Praha 5;150 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401716;Smurfit Kappa Czech s.r.o.;Skandinavska 1000;Zebrak;267 53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402156;CG Electronics Plzen, spol. s.r.o.;Zeleznicarska 349/39;Plzen 12;312 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402161;Hoffmann Ivan;Lidicka 80;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402162;FLUIDTECHNIK BOHEMIA, s.r.o.;Olomoucka 87;Brno;627 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402163;E-THERM, a.s.;Kubisova 1382/38;Praha 8;182 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402170;VYZAtrans, v.o.s.;Zizkova 1;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402509;AM - garazova technijka spol. s.r.o;Bozeny Nemcove 2;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402510;WONDRAK INDUSTRIE BERATUNG WIB GmbH;Hauptstr. 2C;Ensdorf;92266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402514;Martinek Jan;Nerudova 74;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402515;GES-ELECTRONICS, a.s.;sady 5.kvetna 28;Plzen;301 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402519;ORSO Lanskroun s.r.o.;Nadrazni 191;Lanskroun;563 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402520;GALIKA spol. s.r.o.;ul. S. Jurkovica 13;Nove Mesto nad Vahom;915 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402521;Cipos spol. s.r.o.;Vrato 4;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402523;HASBU spol. s.r.o.;Novohradska 21;Ceske Budejovice;371 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402533;INTERSPARK PRAHA, spol. s.r.o.;Krivoklatska 37;Praha-Letnany;199 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402537;AZT spol.s.r.o.;Krenova 19;Brno;602 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402538;Polytechnika, spol. s.r.o.;Vinicni 100;Brno - Zidenice;615 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402539;Seckar Josef;Velka nad Velickou 891;Velka nad Velickou;696 74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402540;KEB Antriebstechnik Austria GmbH;Kostelni 32/1226;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402541;Kubousek s.r.o.;Lidicka 1937;Ceske Budejovice;370 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402542;Tymalova Ivana TYKO;Lucni 316;Stare Hodejovice;370 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402543;PENTA TRADING, spol. s.r.o.;Michelska 9/3;Praha 4;140 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402545;Svoboda Libor Ing.;Ksirova 120;Brno;619 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402548;Albert Klink GmbH;Reutherstraße 40;Hennef;53773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402557;Euro SITEX s.r.o.;K Podlesi 630;Pribram 6;261 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402567;FRIDRICH Miroslav;Okruzni 2216;Ceske Lipa;470 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402568;PRECIOSA ORNELA a. s.;Zasada 317;Zasada;468 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402569;SIDAT spol. s.r.o.;Jinonicka 80;Praha 5;158 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402581;Josef Vavra,  s.r.o.;Pekarenska 255/77;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402582;KREISA s.r.o.;Zvole 4;Zvole u Prahy;252 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402593;KUCERA STANISLAV;Kojeticka 1048/13;Neratovice;277 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402594;Tukovy prumysl Praha, a.s.;Husova 361;Beroun;266 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402598;HANYKO Praha s.r.o.;Krizova 1018;Praha 5;150 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402600;Rehacek Jiri;Hornicka 51;Dobra Voda u Ceskych Budejovic;373 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402601;GALIKA GmbH;Gruenburger Str. 20;Ternberg;4452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402602;Josef Havlicek;Chelcickeho 78/21;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402604;ROHDE Schutzgasöfen GmbH;Blochbachstraße 37-39;Bruchköbel;63486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402605;Tukovy prumysl Praha, a.s.;U plynarny 99;Praha 10 - Vrsovice;101 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402607;GDW  Werkzeugmaschinen;Ringstraße 79;Herzogenaurach;91074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402616;Radialka SBS Usti n. L., s.r.o.;zst. Obrnice;Obrnice;435 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402626;POKART spol. s r.o.;Josefa Skupy 1708;Ostrava - Poruba;708 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402627;PROFISKLO s.r.o.;Druzstevni 7;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402628;TNT EXPRESS WORLDWIDE, spol. s.r.o.;Na Radosti 413;Praha 5;155 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402631;Lejsek Miloslav Ing.;Vysehradska 250;Cesky Krumlov;381 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402643;Hrazdil Jiri Ing.;Vranovska 20;Brno;614 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402644;MESSER TECHNOGAS s.r.o.;Zeleny pruh 99;Praha 4;140 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402701;Sony Czech, spol. s.r.o.;Vinohradska 174;Praha 3;130 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402702;Bodycote HT s.r.o.;Tanvaldska 345;Liberec 30;463 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402703;GASTRO - Tobias a Hanzlik spol. s.r;Zemedelska 500;Kamenny Ujezd;373 81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402706;Noventa  AG;Sonnenstraße 1;Diepoldsau;9444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402712;OTAVA, vyrobni druzstvo;Vinarickeho 374;Pisek;397 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402713;SALVA Jiri;Trebizskeho 11;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402714;Vorisek Petr;Roudne 388;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402717;Imtos spol. s.r.o.;Krasova 417/3;Brno;614 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402718;ISS a Uciliste Velesin;U hriste 527;Velesin;382 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402662;Klokocka Pavel;A. Tragera 41;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402663;Dioptra, a.s.;Sobotecka 1660;Turnov;511 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402664;LIKO-S, a.s.;U Splavu 1419;Slavkov u Brna;684 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402665;Ammeraal Beltech s.r.o.;Hruskove Dvory 80;Jihlava;586 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402676;Pfingstner Pavel - zruseno;Frantiska Krizka 23;Praha 7;170 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402677;Charvat Jiri JUDr. Ing.;Zbraslavice 744/2;Zbraslavice;285 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402678;JOSA s.r.o.;K. Uhlire 42;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402679;EGE, spol. s.r.o.;Novohradska 34;Ceske Budejovice;370 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402686;TJ AKRA Ceske Budejovice;U Sirkarny 252;Ceske Budejovice;370 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402687;Zdravotni ustav;L. B. Schneidera 32;Ceske Budejovice;370 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402693;Popp Vlastimil;Trocnovska 661;Trhove Sviny;374 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401756;Linde Material Handling Ceska;Polygraficka 622/2;Praha 10;108 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401757;Festo s. r. o.;Pod Belarii 784;Praha 4 - Modrany;143 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401758;CKD Kutna hora a. s.;Karlov 197;Kutna Hora;284 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401759;Linde Gas a.s.;U Technoplynu 1324;Praha 9;198 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401760;Dvorakova Monika Mgr.;Vrbenska 5;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401764;B+K  Ceske Budejovice s.r.o.;Komenskeho 23;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401766;CP-MORES spol. s r. o.;U pily 548;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401767;Info Office;Plzenska 313;Blatna;388 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
401768;Czech On Line a. s.;Rybna 14;Praha 1;110 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
